batch_size,freez_ep,unfreez_ep,lr_1,lr_2,dropout_head,hidden_layer_1,hidden_layer_2,num_hidden_layers,function_values
64,4,7,4.466026747090393e-05,0.00011107262765875399,0.7182610540688219,256,512,2,-80.96054888507719
64,6,6,1.7894893594894764e-05,0.00044010478240806973,0.7662376904878405,512,256,1,-79.93138936535163
32,5,7,0.0006270977431385183,1.907771232793805e-05,0.6039768526693186,128,512,0,-82.67581475128645
32,2,6,1.4235288892889025e-05,1.7088600613184255e-05,0.5999087125282689,512,512,1,-83.19039451114922
64,6,8,2.508396692109685e-05,4.1401948015495125e-05,0.6824094651190169,512,128,1,-83.87650085763293
128,6,5,0.00011038211496918009,5.916018460561741e-05,0.3952291290587717,256,256,1,-82.50428816466552
16,5,4,0.0001262692545193229,2.376176698280793e-05,0.4437659244599156,256,64,1,-83.19039451114922
32,3,4,1.4489810812699434e-05,0.00011016161583298764,0.587125738757769,128,256,1,-81.98970840480274
32,5,8,0.00048554844889533424,0.00043771961534764647,0.7980641467607807,256,64,2,-81.98970840480274
128,3,8,1.3570539707697239e-05,1.573457669333111e-05,0.6832271395936653,512,128,1,-81.81818181818181
64,4,7,2.253660282129754e-05,4.2186072083886676e-05,0.5190718382813488,512,128,1,-82.84734133790738
16,6,8,3.44533727521273e-05,3.661103030630505e-05,0.5549040904215226,512,256,1,-83.36192109777015
16,4,8,0.0003354392310809396,3.618258219087137e-05,0.5860250591214682,512,128,1,-82.67581475128645
64,6,8,1e-05,1e-05,0.2888956436908053,512,128,1,-82.3327615780446
16,6,4,1e-05,3.1433466724083306e-05,0.3473539796688371,256,512,1,-82.50428816466552
32,6,7,1.4365299222368146e-05,3.9580772335310544e-05,0.7022983329616008,512,128,1,-82.67581475128645
16,2,6,0.0004449332279083696,8.080270051569787e-05,0.2681184005613704,512,128,0,-81.98970840480274
32,2,4,1.4713917569574591e-05,1e-05,0.6120697547162566,64,512,0,-81.30360205831904
64,3,7,0.001,1e-05,0.32931497705324514,512,256,2,-80.27444253859348
128,2,5,0.001,3.3921138544882946e-05,0.7109639604731579,128,64,0,-82.50428816466552
16,2,7,6.413909905037411e-05,2.948625498627041e-05,0.5163188269326928,64,256,1,-83.53344768439108
16,3,7,0.001,1e-05,0.7245440554839819,256,256,1,-83.01886792452831
128,6,8,1e-05,0.0004999999999999999,0.8,64,64,0,-79.41680960548885
16,4,5,0.00011216325801289343,2.5407296155148588e-05,0.8,256,128,1,-83.53344768439108
16,3,8,0.00029529315847318615,1e-05,0.629638255276509,256,512,1,-81.98970840480274
16,6,4,0.001,0.0004999999999999999,0.2,512,512,2,-75.64322469982848
16,4,4,0.001,4.053769162810447e-05,0.8,64,64,1,-83.704974271012
16,6,4,0.001,3.951399509947716e-05,0.8,64,256,1,-84.04802744425386
16,6,4,0.001,1.8024216478563552e-05,0.2,64,64,0,-81.98970840480274
16,6,4,0.001,4.0037323806116336e-05,0.8,64,512,1,-83.01886792452831
